Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,5.61480223968264E-05,-0.0117064854462814,0.0238887509897539,0,0,0,0.280599674625568,0.000200451284950895,-5.9011714217354E-08,2.67343649586141E-08,0.000270320498906944,3.57177926688131E-09,0.000451295385707299,0,0,0,0,0,0,package://walle/meshes/chassis.STL,0.694117647058824,0.0980392156862745,0.0980392156862745,1,0,0,0,0,0,0,package://walle/meshes/chassis.STL,,Assem111-1/Wall-E-right-wheel-1/Wall-E-bomotor-2;Assem111-1/Wall-E-right-wheel-1/Wall-E-leg-2;Assem111-1/Assem15-1/pcb-1;Assem111-1/Assem15-1/WallE-spacers-3;Assem111-1/Assem15-1/WallE-spacers-1;Assem111-1/Assem15-1/WallE-chassis-1;Assem111-1/Wall-E-right-wheel-3/Wall-E-bomotor-2;Assem111-1/Wall-E-right-wheel-3/Wall-E-leg-2;Assem111-1/Assem15-1/Wall-E-Finalpcb-1/WallE-pcb-1;Assem111-1/Assem15-1/WallE-spacers-2;Assem111-1/Assem15-1/WallE-spacers-4,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leftwheel,-0.0163899753313301,2.83848577531387E-07,2.48149572834588E-08,0,0,0,0.0297341396000601,2.03788362309296E-05,8.94081239139364E-11,7.80138441286818E-12,1.22910336664367E-05,4.02440932499312E-14,1.2291388839289E-05,0,0,0,0,0,0,package://walle/meshes/leftwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://walle/meshes/leftwheel.STL,,Assem111-1/Wall-E-right-wheel-1/Wall-E-wheel-3,Coordinate System5,Axis1,lw,revolute,-0.06625,-0.014071,-0.018803,0,0,0,chassis,-1,0,0,100,100,0,0,,,,,,,,
rightwheel,0.0163899753313302,2.83848578030987E-07,-2.48149572834588E-08,0,0,0,0.0297341396000606,2.03788362309299E-05,-8.94081236634122E-11,7.80138440688054E-12,1.22910336664369E-05,-4.0244155905073E-14,1.22913888392891E-05,0,0,0,0,0,0,package://walle/meshes/rightwheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://walle/meshes/rightwheel.STL,,Assem111-1/Wall-E-right-wheel-3/Wall-E-wheel-3,Coordinate System4,Axis1,rw,revolute,0.06625,-0.014071,-0.018803,0,0,0,chassis,-1,0,0,100,100,0,0,,,,,,,,
